choice,bet_amount,won,bankroll
true,1,false,999
true,5,true,1004
true,1,false,1003
true,5,false,998
true,10,false,988
true,25,false,963
true,50,true,1013
true,1,true,1014
true,1,true,1015
true,1,true,1016
true,1,true,1017
true,1,false,1016
true,5,false,1011
true,10,true,1021
true,1,true,1022
true,1,false,1021
true,5,false,1016
true,10,true,1026
true,1,true,1027
true,1,false,1026
true,5,false,1021
true,10,true,1031
true,1,true,1032
true,1,true,1033
true,1,false,1032
true,5,false,1027
true,10,true,1037
true,1,true,1038
true,1,false,1037
true,5,false,1032
true,10,true,1042
true,1,true,1043
true,1,true,1044
true,1,false,1043
true,5,false,1038
true,10,true,1048
true,1,false,1047
true,5,true,1052
true,1,true,1053
true,1,true,1054
true,1,true,1055
true,1,true,1056
true,1,true,1057
true,1,false,1056
true,5,false,1051
true,10,true,1061
true,1,false,1060
true,5,false,1055
true,10,true,1065
true,1,false,1064
true,5,true,1069
true,1,false,1068
true,5,false,1063
true,10,false,1053
true,25,false,1028
true,50,true,1078
true,1,true,1079
true,1,true,1080
true,1,true,1081
true,1,false,1080
true,5,false,1075
true,10,false,1065
true,25,false,1040
true,50,false,990
true,100,true,1090
true,1,true,1091
true,1,true,1092
true,1,true,1093
true,1,true,1094
true,1,true,1095
true,1,false,1094
true,5,true,1099
true,1,false,1098
true,5,true,1103
true,1,false,1102
true,5,true,1107
true,1,true,1108
true,1,true,1109
true,1,false,1108
true,5,false,1103
true,10,false,1093
true,25,true,1118
true,1,false,1117
true,5,true,1122
true,1,true,1123
true,1,false,1122
true,5,false,1117
true,10,true,1127
true,1,false,1126
true,5,true,1131
true,1,false,1130
true,5,true,1135
true,1,true,1136
true,1,false,1135
true,5,true,1140
true,1,true,1141
true,1,false,1140
true,5,false,1135
true,10,true,1145
true,1,false,1144
true,5,true,1149
true,1,true,1150
true,1,true,1151
true,1,false,1150
true,5,false,1145
true,10,true,1155
true,1,false,1154
true,5,true,1159
true,1,false,1158
true,5,true,1163
true,1,true,1164
true,1,false,1163
true,5,false,1158
true,10,true,1168
true,1,true,1169
true,1,false,1168
true,5,false,1163
true,10,true,1173
true,1,false,1172
true,5,false,1167
true,10,false,1157
true,25,true,1182
true,1,false,1181
true,5,false,1176
true,10,false,1166
true,25,true,1191
true,1,false,1190
true,5,true,1195
true,1,false,1194
true,5,true,1199
true,1,true,1200
true,1,true,1201
true,1,true,1202
true,1,true,1203
true,1,false,1202
true,5,true,1207
true,1,false,1206
true,5,false,1201
true,10,true,1211
true,1,false,1210
true,5,false,1205
true,10,false,1195
true,25,true,1220
true,1,false,1219
true,5,true,1224
true,1,true,1225
true,1,true,1226
true,1,false,1225
true,5,false,1220
true,10,false,1210
true,25,false,1185
true,50,true,1235
true,1,true,1236
true,1,false,1235
true,5,true,1240
true,1,false,1239
true,5,false,1234
true,10,true,1244
true,1,true,1245
true,1,false,1244
true,5,true,1249
true,1,false,1248
true,5,true,1253
true,1,true,1254
