choice,bet_amount,won,bankroll
true,1,false,999
true,5,true,1004
true,1,false,1003
true,5,false,997
true,10,false,987
true,25,false,961
true,50,true,1008
true,1,true,1009
true,1,true,1010
true,1,true,1011
true,1,true,1012
true,1,false,1011
true,5,false,1005
true,10,true,1015
true,1,true,1016
true,1,false,1015
true,5,false,1009
true,10,true,1019
true,1,true,1020
true,1,false,1019
true,5,false,1013
true,10,true,1023
true,1,true,1024
true,1,true,1025
true,1,false,1024
true,5,false,1018
true,10,true,1028
true,1,true,1029
true,1,false,1028
true,5,false,1022
true,10,true,1032
true,1,true,1033
true,1,true,1034
true,1,false,1033
true,5,false,1027
true,10,true,1037
true,1,false,1036
true,5,true,1040
true,1,true,1041
true,1,true,1042
true,1,true,1043
true,1,true,1044
true,1,true,1045
true,1,false,1044
true,5,false,1039
true,10,true,1048
true,1,false,1047
true,5,false,1042
true,10,true,1051
true,1,false,1050
true,5,true,1055
true,1,false,1054
true,5,false,1049
true,10,false,1038
true,25,false,1012
true,50,true,1059
true,1,true,1060
true,1,true,1061
true,1,true,1062
true,1,false,1061
true,5,false,1056
true,10,false,1045
true,25,false,1019
true,50,false,966
true,100,true,1061
true,1,true,1062
true,5,true,1067
true,1,true,1068
true,1,true,1069
true,1,true,1070
true,1,false,1069
true,5,true,1073
true,1,false,1072
true,5,true,1077
true,1,false,1076
true,1,true,1077
true,1,true,1078
true,1,true,1079
true,1,false,1078
true,5,false,1072
true,10,false,1062
true,25,true,1086
true,1,false,1084
true,5,true,1089
true,1,true,1090
true,1,false,1089
true,5,false,1084
true,10,true,1093
true,1,false,1092
true,5,true,1097
true,1,false,1096
true,5,true,1101
true,1,true,1101
true,1,false,1100
true,5,true,1105
true,1,true,1106
true,1,false,1105
true,5,false,1100
true,10,true,1109
true,1,false,1108
true,5,true,1113
true,1,true,1114
true,1,true,1115
true,1,false,1114
true,5,false,1108
true,10,true,1118
true,1,false,1117
true,5,true,1121
true,1,false,1120
true,5,true,1125
true,1,true,1126
true,1,false,1125
true,5,false,1120
true,10,true,1129
true,1,true,1130
true,1,false,1129
true,5,false,1124
true,10,true,1133
true,1,false,1132
true,5,false,1127
true,10,false,1116
true,25,true,1140
true,1,false,1139
true,5,false,1134
true,10,false,1123
true,25,true,1147
true,1,false,1146
true,5,true,1150
true,1,false,1149
true,5,true,1154
true,1,true,1155
true,1,true,1156
true,1,true,1157
true,1,true,1158
true,1,false,1157
true,5,true,1161
true,1,false,1160
true,5,false,1155
true,10,true,1164
true,1,false,1163
true,5,false,1158
true,10,false,1148
true,25,true,1171
true,1,false,1170
true,5,true,1175
true,1,true,1176
true,1,true,1177
true,1,false,1176
true,5,false,1170
true,10,false,1160
true,25,false,1134
true,50,true,1181
true,1,true,1182
true,1,false,1181
true,5,true,1186
true,10,false,1175
true,25,false,1149
true,50,true,1196
true,1,true,1197
true,1,false,1196
true,5,true,1201
true,1,false,1200
true,5,true,1205
true,1,true,1205
true,1,false,1204
true,5,true,1209
true,1,false,1208
true,5,false,1203
true,10,true,1212
true,1,false,1211
true,5,true,1216
true,1,false,1215
true,5,false,1210
true,10,true,1219
true,1,true,1220
true,1,false,1219
true,5,false,1214
true,10,false,1203
true,25,true,1227
true,1,true,1228
true,1,false,1227
true,5,false,1221
true,10,true,1231
true,1,false,1230
true,5,true,1234
true,1,false,1233
true,5,false,1228
true,10,false,1218
true,25,false,1191
true,50,true,1239
true,1,true,1240
true,1,false,1239
true,5,true,1243
true,1,false,1242
true,5,true,1247
true,1,false,1246
true,5,true,1251
true,1,true,1252
true,1,true,1252
true,1,true,1253
true,1,true,1254
true,1,false,1253
true,5,true,1258
true,1,true,1259
true,1,false,1258
true,5,false,1252
true,10,true,1262
true,1,true,1263
true,1,true,1264
true,1,true,1265
true,1,true,1266
true,1,true,1267
true,1,false,1265
true,5,false,1260
true,10,false,1250
true,25,true,1273
true,1,false,1272
true,5,true,1277
true,1,false,1276
true,5,false,1271
true,10,true,1280
true,1,true,1281
true,1,true,1282
true,1,true,1283
true,1,true,1284
true,1,true,1285
true,1,true,1286
true,1,false,1285
true,5,false,1279
true,10,false,1269
true,25,true,1293
true,1,false,1291
true,5,false,1286
true,10,true,1296
true,1,true,1297
true,1,false,1295
true,5,true,1300
true,1,false,1299
true,5,true,1304
true,1,true,1305
true,1,false,1304
true,5,true,1308
true,1,false,1307
true,5,false,1302
true,10,true,1312
true,1,true,1312
true,1,false,1311
true,5,true,1316
true,1,false,1315
true,5,true,1320
true,1,false,1319
true,5,true,1323
true,1,false,1322
true,5,true,1327
true,1,true,1328
true,1,true,1329
true,1,false,1328
true,5,false,1323
true,10,false,1312
true,25,false,1286
true,50,true,1333
true,1,true,1334
true,1,true,1335
true,1,true,1336
true,1,true,1337
true,1,true,1338
true,1,false,1337
true,5,false,1331
true,10,false,1321
true,25,true,1345
true,1,false,1344
true,5,false,1338
true,10,true,1348
true,1,true,1349
true,1,true,1350
true,1,true,1351
true,1,true,1351
true,1,true,1352
true,1,false,1351
true,5,false,1346
true,10,false,1335
true,25,true,1359
true,1,false,1358
true,5,true,1363
true,1,true,1364
true,1,false,1363
true,5,true,1367
true,1,true,1368
true,1,true,1369
true,1,false,1368
true,5,false,1363
true,10,false,1352
true,25,true,1376
true,1,true,1377
true,1,false,1376
true,5,true,1381
true,1,false,1380
true,5,false,1374
true,10,true,1384
true,1,false,1383
true,5,false,1377
true,10,false,1367
true,25,true,1391
true,1,true,1392
true,1,true,1392
true,1,true,1393
true,1,false,1392
true,5,true,1397
true,1,true,1398
true,1,true,1399
true,1,true,1400
true,1,true,1401
true,1,false,1400
true,5,false,1394
true,10,false,1384
true,25,true,1408
true,1,false,1406
