choice,bet_amount,won
true,1,true
true,1,true
true,1,true
true,1,true
true,1,true
true,1,true
true,1,true
true,1,true
true,1,true
false,5,false
false,10,false
false,25,false
false,10,false
true,1,true
false,10,false
true,1,true
false,5,false
false,1,false
true,1,true
true,1,true
true,1,true
false,50,false
false,100,false
false,100,false
false,100,false
false,100,false
true,10,true
true,100,true
true,1,true
true,100,true
false,100,false
true,100,true
false,10,false
true,50,true
true,1,true
true,1,true
true,1,true
true,100,true
true,5,true
false,1,false
false,100,false
true,5,true
false,100,false
false,100,false
false,1,false
true,1,true
true,100,true
true,1,true
true,1,true
false,1,false
true,1,true
true,100,true
true,1,true
false,1,false
false,100,false
true,1,true
false,100,false
true,1,true
false,1,false
false,5,false
true,1,true
true,1,true
true,1,true
false,1,false
true,1,true
false,1,false
true,1,true
true,5,true
false,1,false
true,100,true
true,1,true
false,1,false
true,1,true
true,100,true
true,100,true
true,1,true
true,10,true
true,5,true
true,5,true
true,1,true
false,1,false
true,1,true
false,5,false
false,50,false
false,100,false
true,10,true
false,50,false
true,10,true
true,1,true
false,10,false
false,100,false
false,100,false
false,10,false
true,10,true
true,100,true
true,10,true
true,100,true
true,10,true
false,100,false
false,10,false
false,100,false
false,1,false
false,100,false
true,1,true
false,1,false
true,10,true
false,1,false
false,10,false
false,10,false
true,1,true
true,10,true
true,1,true
false,1,false
true,50,true
false,1,false
false,5,false
false,10,false
false,5,false
true,10,true
true,1,true
false,100,false
false,5,false
true,5,true
false,10,false
true,5,true
true,100,true
true,100,true
false,5,false
false,5,false
false,10,false
false,10,false
true,100,true
false,1,false
true,1,true
false,1,false
true,5,true
false,5,false
true,1,true
true,5,true
false,1,false
false,5,false
true,1,true
false,1,false
true,100,true
true,1,true
true,5,true
false,5,false
false,5,false
false,10,false
true,10,true
true,5,true
false,1,false
true,5,true
false,100,false
true,10,true
false,100,false
true,10,true
false,10,false
true,10,true
true,10,true
false,10,false
false,25,false
true,10,true
true,5,true
false,5,false
true,10,true
false,5,false
true,10,true
true,10,true
true,10,true
true,5,true
false,10,false
false,5,false
false,100,false
true,10,true
true,5,true
true,10,true
true,10,true
true,5,true
true,10,true
true,1,true
true,1,true
true,5,true
true,1,true
true,5,true
true,1,true
true,5,true
true,5,true
true,1,true
true,5,true
true,5,true
true,5,true
false,5,false
false,5,false
true,10,true
true,1,true
false,1,false
false,5,false
false,10,false
false,10,false
true,100,true
false,5,false
false,5,false
true,5,true
false,10,false
false,5,false
false,25,false
true,5,true
false,5,false
false,5,false
false,5,false
false,10,false
true,1,true
true,5,true
false,5,false
true,1,true
true,5,true
false,10,false
true,1,true
true,5,true
true,1,true
false,5,false
false,5,false
true,5,true
true,1,true
